 5750 2.00  1.46 -0.04  0.347  0.669  0.354  0.702  1.497  0.319  0.361  0.035   
 6000 2.00  1.32  0.00  0.293  0.574  0.312  0.623  1.320  0.274  0.313  0.033   
 6250 2.00  1.19  0.04  0.266  0.487  0.272  0.546  1.153  0.233  0.268  0.032   
 6500 2.00  1.06  0.06  0.257  0.408  0.233  0.471  0.996  0.195  0.227  0.032   
 6750 2.00  0.93  0.08  0.257  0.334  0.195  0.398  0.848  0.162  0.190  0.032   
 7000 2.00  0.81  0.10  0.263  0.258  0.158  0.328  0.712  0.132  0.157  0.032   
 7250 2.00  0.69  0.10  0.263  0.184  0.122  0.263  0.588  0.107  0.129  0.032   
 7500 2.00  0.57  0.10  0.245  0.129  0.092  0.207  0.475  0.085  0.103  0.031   
 7750 2.00  0.47  0.09  0.216  0.083  0.068  0.159  0.376  0.067  0.081  0.030   
 8000 2.00  0.36  0.07  0.174  0.043  0.047  0.119  0.291  0.052  0.062  0.028   
 8250 2.00  0.26  0.04  0.123  0.012  0.031  0.088  0.219  0.041  0.046  0.026   
 8500 2.00  0.17  0.00  0.069 -0.010  0.020  0.066  0.160  0.033  0.033  0.024   
 8750 2.00  0.08 -0.03  0.013 -0.025  0.013  0.050  0.111  0.026  0.021  0.021   
 9000 2.00 -0.01 -0.08 -0.041 -0.036  0.009  0.039  0.069  0.020  0.010  0.017    
 9250 2.00 -0.09 -0.13 -0.094 -0.043  0.006  0.030  0.033  0.015  0.001  0.014    
 9500 2.00 -0.18 -0.18 -0.146 -0.049  0.004  0.024  0.001  0.011 -0.007  0.011    
 9750 2.00 -0.25 -0.23 -0.196 -0.055  0.003  0.017 -0.028  0.006 -0.014  0.008    
10000 2.00 -0.33 -0.28 -0.243 -0.060  0.001  0.012 -0.054  0.003 -0.020  0.006    
10250 2.00 -0.40 -0.33 -0.287 -0.064  0.000  0.006 -0.079 -0.001 -0.026  0.003    
10500 2.00 -0.48 -0.37 -0.329 -0.069 -0.002  0.000 -0.101 -0.004 -0.031  0.001    
10750 2.00 -0.55 -0.42 -0.369 -0.073 -0.004 -0.006 -0.123 -0.008 -0.036  0.000    
